id,symbol,date,open,high,low,close,adj_close,volume,created_at,dividends,stock_splits,capital_gains
1572,SPY,2025-07-25,633.3342,635.8173,633.0849,635.3386,635.3386,56865400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1573,SPY,2025-07-28,635.7175,636.276,633.7829,635.179,635.179,54917100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1574,SPY,2025-07-29,636.5851,636.9042,632.5862,633.5037,633.5037,60556300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1575,SPY,2025-07-30,634.1618,635.9169,629.7939,632.7059,632.7059,80418900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1576,SPY,2025-07-31,637.6921,638.0809,629.0261,630.3325,630.3325,103385200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1577,SPY,2025-08-01,624.5684,624.6083,617.5778,620.001,620.001,140103600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1578,SPY,2025-08-04,623.9401,629.4748,623.8504,629.4249,629.4249,73218000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1579,SPY,2025-08-05,630.0432,630.861,625.3063,626.2338,626.2338,68051400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1580,SPY,2025-08-06,627.3108,631.6887,626.3933,631.0305,631.0305,64357500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1581,SPY,2025-08-07,634.4809,635.2189,627.3706,630.502,630.502,74205800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1582,SPY,2025-08-08,632.307,635.8871,631.9878,635.4183,635.4183,64051600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1583,SPY,2025-08-11,635.6976,637.1835,632.9053,634.1618,634.1618,58742300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1584,SPY,2025-08-12,636.5253,641.0727,635.0294,640.9131,640.9131,64730800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1585,SPY,2025-08-13,643.127,644.4034,640.9031,643.1071,643.1071,60092800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1586,SPY,2025-08-14,641.0128,643.835,640.5641,643.1669,643.1669,59327500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1587,SPY,2025-08-15,644.204,644.3038,640.7436,641.6611,641.6611,68592500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1588,SPY,2025-08-18,641.0826,642.2195,640.4045,641.5214,641.5214,43804900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1589,SPY,2025-08-19,641.3419,642.3292,636.7147,638.0411,638.0411,69750700,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1590,SPY,2025-08-20,637.6322,637.8915,631.2001,636.3458,636.3458,88890300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1591,SPY,2025-08-21,634.5209,636.2061,632.0577,633.7928,633.7928,54805800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1592,SPY,2025-08-22,635.9968,644.7126,635.4882,643.5259,643.5259,84083200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1593,SPY,2025-08-25,642.2593,643.5059,640.574,640.6937,640.6937,51274300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1594,SPY,2025-08-26,640.4245,643.7254,639.7962,643.3763,643.3763,51581600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1595,SPY,2025-08-27,642.7879,645.5802,642.6383,644.8422,644.8422,48341100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1596,SPY,2025-08-28,645.4505,647.6843,643.5558,647.1259,647.1259,61519500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1597,SPY,2025-08-29,645.6799,646.0489,641.3619,643.2666,643.2666,74522200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1598,SPY,2025-09-02,635.7375,638.7192,633.1646,638.4998,638.4998,81983500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1599,SPY,2025-09-03,640.8932,642.4289,638.6893,641.9602,641.9602,70820900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1600,SPY,2025-09-04,642.6383,647.3553,641.7308,647.3253,647.3253,65219200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1601,SPY,2025-09-05,649.6788,650.4068,641.5513,645.4505,645.4505,85178900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1602,SPY,2025-09-08,646.8267,648.0434,645.4405,647.0361,647.0361,63133100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1603,SPY,2025-09-09,647.1757,649.0605,645.4305,648.532,648.532,66133900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1604,SPY,2025-09-10,651.8129,652.7403,648.8312,650.4068,650.4068,78034500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1605,SPY,2025-09-11,652.3714,656.5099,651.783,655.8118,655.8118,69934400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1606,SPY,2025-09-12,655.7819,657.2877,655.0839,655.5924,655.5924,72780100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1607,SPY,2025-09-15,657.8163,659.2123,657.5171,659.0827,659.0827,63772400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1608,SPY,2025-09-16,659.6411,659.9503,657.3874,658.1752,658.1752,61169000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1609,SPY,2025-09-17,658.1853,659.8905,652.491,657.3575,657.3575,101952200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1610,SPY,2025-09-18,660.06,663.0517,658.4445,660.429,660.429,90459200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1611,SPY,2025-09-19,662.33,664.55,660.37,663.7,663.7,97945600,2025-10-24 22:59:49.677963,1.831,0.0,0.0
1612,SPY,2025-09-22,662.2,667.29,662.17,666.84,666.84,69452200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1613,SPY,2025-09-23,666.72,667.34,661.98,663.21,663.21,81708900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1614,SPY,2025-09-24,664.51,664.61,659.67,661.1,661.1,68082200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1615,SPY,2025-09-25,657.94,659.41,654.41,658.05,658.05,89622100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1616,SPY,2025-09-26,659.51,662.37,657.88,661.82,661.82,69179200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1617,SPY,2025-09-29,664.36,665.28,661.86,663.68,663.68,73499000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1618,SPY,2025-09-30,662.93,666.65,661.61,666.18,666.18,86288000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1619,SPY,2025-10-01,663.17,669.37,663.06,668.45,668.45,72545400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1620,SPY,2025-10-02,670.45,670.57,666.78,669.22,669.22,56896000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1621,SPY,2025-10-03,669.99,672.68,668.16,669.21,669.21,70494400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1622,SPY,2025-10-06,671.62,672.51,669.46,671.61,671.61,54623300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1623,SPY,2025-10-07,672.54,672.99,667.67,669.12,669.12,72020100,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1624,SPY,2025-10-08,670.25,673.21,669.42,673.11,673.11,60702200,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1625,SPY,2025-10-09,673.53,673.94,669.21,671.16,671.16,66501900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1626,SPY,2025-10-10,672.13,673.95,652.84,653.02,653.02,159422600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1627,SPY,2025-10-13,660.65,665.13,659.77,663.04,663.04,79560500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1628,SPY,2025-10-14,657.17,665.83,653.17,662.23,662.23,88779600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1629,SPY,2025-10-15,666.82,670.23,658.93,665.17,665.17,81702600,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1630,SPY,2025-10-16,666.82,668.71,657.11,660.64,660.64,110563300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1631,SPY,2025-10-17,659.5,665.76,658.14,664.39,664.39,96500900,2025-10-24 22:59:49.677963,0.0,0.0,0.0
977,SPY,2025-10-20,667.32,672.21,667.27,671.3,671.3,60493400,2025-10-24 22:59:49.677963,0.0,0.0,0.0
984,SPY,2025-10-21,671.44,672.99,669.98,671.29,671.29,56249000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
991,SPY,2025-10-22,672.0,672.0,663.3,667.8,667.8,80564000,2025-10-24 22:59:49.677963,0.0,0.0,0.0
998,SPY,2025-10-23,668.12,672.71,667.8,671.76,671.76,65604500,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1005,SPY,2025-10-24,676.46,678.4699,675.65,677.25,677.25,73744177,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1637,QQQ,2025-07-25,564.2758,567.0426,563.6166,565.7142,565.7142,30630800,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1638,QQQ,2025-07-28,567.0826,568.381,566.2136,567.4821,567.4821,31498700,2025-10-24 22:59:49.677963,0.0,0.0,0.0
1639,QQQ,2025-07-29,570.0991,571.4475,565.874,566.6031,566.6031,45463300,2025-10-24 22:59:49.677963,0.0,0.0,0.0
